TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.18421052631578946,0.06373021861834363,38
0.5,15.0,1.23,-160,0.21052631578947367,0.06702258315442244,38
0.5,15.0,1.23,-120,0.23684210526315788,0.06989334006042332,38
0.5,15.0,1.23,-80,0.21052631578947367,0.06702258315442246,38
0.5,15.0,1.23,-40,0.5263157894736842,0.08208556498579522,38
0.5,15.0,1.23,0,0.7368421052631579,0.07239266372688177,38
0.5,15.0,1.23,40,0.7894736842105263,0.06702258315442244,38
0.5,15.0,1.23,80,0.8648648648648649,0.056977975858889716,37
0.5,15.0,1.23,120,0.9210526315789473,0.044331271812937195,38
0.5,15.0,1.23,160,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,200,0.972972972972973,0.027027027027027025,37
1.0,5.0,1.23,-200,0.23684210526315788,0.06989334006042332,38
1.0,5.0,1.23,-160,0.18421052631578946,0.06373021861834363,38
1.0,5.0,1.23,-120,0.3783783783783784,0.08083044344561423,37
1.0,5.0,1.23,-80,0.34210526315789475,0.07799328662681831,38
1.0,5.0,1.23,-40,0.5526315789473685,0.08174282626554188,38
1.0,5.0,1.23,0,0.631578947368421,0.0793021898421983,38
1.0,5.0,1.23,40,0.6578947368421053,0.07799328662681833,38
1.0,5.0,1.23,80,0.7297297297297297,0.07401656182502245,37
1.0,5.0,1.23,120,0.8421052631578947,0.05994682078436835,38
1.0,5.0,1.23,160,0.7894736842105263,0.06702258315442246,38
1.0,5.0,1.23,200,0.8947368421052632,0.050452767712569555,38
1.0,15.0,0.03,-200,0.07894736842105263,0.044331271812937195,38
1.0,15.0,0.03,-160,0.05405405405405406,0.03768738858261602,37
1.0,15.0,0.03,-120,0.18421052631578946,0.06373021861834363,38
1.0,15.0,0.03,-80,0.13157894736842105,0.055572190200903426,38
1.0,15.0,0.03,-40,0.2702702702702703,0.07401656182502245,37
1.0,15.0,0.03,0,0.7368421052631579,0.07239266372688177,38
1.0,15.0,0.03,40,0.7368421052631579,0.07239266372688177,38
1.0,15.0,0.03,80,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.03,120,1.0,0.0,38
1.0,15.0,0.03,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.03,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.22,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.22,-160,0.13157894736842105,0.05557219020090343,38
1.0,15.0,0.22,-120,0.21052631578947367,0.06702258315442246,38
1.0,15.0,0.22,-80,0.10526315789473684,0.050452767712569555,38
1.0,15.0,0.22,-40,0.3783783783783784,0.08083044344561423,37
1.0,15.0,0.22,0,0.7567567567567568,0.07150679219093488,37
1.0,15.0,0.22,40,0.9459459459459459,0.03768738858261602,37
1.0,15.0,0.22,80,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.22,120,1.0,0.0,37
1.0,15.0,0.22,160,1.0,0.0,38
1.0,15.0,0.22,200,1.0,0.0,38
1.0,15.0,1.23,-200,0.05263157894736842,0.036709780655942936,38
1.0,15.0,1.23,-160,0.13157894736842105,0.05557219020090343,38
1.0,15.0,1.23,-120,0.18421052631578946,0.06373021861834363,38
1.0,15.0,1.23,-80,0.18421052631578946,0.06373021861834363,38
1.0,15.0,1.23,-40,0.6842105263157895,0.07641750223933597,38
1.0,15.0,1.23,0,0.7894736842105263,0.06702258315442244,38
1.0,15.0,1.23,40,0.9473684210526315,0.03670978065594293,38
1.0,15.0,1.23,80,0.9459459459459459,0.03768738858261602,37
1.0,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,160,0.9473684210526315,0.03670978065594293,38
1.0,15.0,1.23,200,1.0,0.0,38
1.0,15.0,4.7,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,4.7,-160,0.10810810810810811,0.05175281663547773,37
1.0,15.0,4.7,-120,0.21052631578947367,0.06702258315442244,38
1.0,15.0,4.7,-80,0.5263157894736842,0.08208556498579521,38
1.0,15.0,4.7,-40,0.7105263157894737,0.07455791696866067,38
1.0,15.0,4.7,0,0.9473684210526315,0.036709780655942936,38
1.0,15.0,4.7,40,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,80,0.9459459459459459,0.03768738858261602,37
1.0,15.0,4.7,120,1.0,0.0,38
1.0,15.0,4.7,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,200,1.0,0.0,38
1.0,25.0,1.23,-200,0.0,0.0,38
1.0,25.0,1.23,-160,0.02702702702702703,0.027027027027027025,37
1.0,25.0,1.23,-120,0.13513513513513514,0.056977975858889716,37
1.0,25.0,1.23,-80,0.10526315789473684,0.050452767712569555,38
1.0,25.0,1.23,-40,0.7894736842105263,0.06702258315442246,38
1.0,25.0,1.23,0,0.8421052631578947,0.05994682078436836,38
1.0,25.0,1.23,40,0.972972972972973,0.027027027027027025,37
1.0,25.0,1.23,80,0.972972972972973,0.027027027027027025,37
1.0,25.0,1.23,120,1.0,0.0,37
1.0,25.0,1.23,160,0.9473684210526315,0.036709780655942936,38
1.0,25.0,1.23,200,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,-200,0.02631578947368421,0.026315789473684206,38
3.0,15.0,1.23,-160,0.02631578947368421,0.02631578947368421,38
3.0,15.0,1.23,-120,0.15789473684210525,0.05994682078436837,38
3.0,15.0,1.23,-80,0.42105263157894735,0.08116837904800629,38
3.0,15.0,1.23,-40,0.7368421052631579,0.07239266372688179,38
3.0,15.0,1.23,0,1.0,0.0,38
3.0,15.0,1.23,40,1.0,0.0,38
3.0,15.0,1.23,80,0.9459459459459459,0.037687388582616034,37
3.0,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,160,1.0,0.0,38
3.0,15.0,1.23,200,1.0,0.0,38
